type,beta,delta,p,c,gamma,roh,alpha,SSR
bootstrap_42,1e-08,0.010394647190882034,156.0,466.76904697402676,0.0005710043564926862,10.0,9.910880629820966,97.68300744472651
bootstrap_43,1e-08,0.04343075379707513,156.0,496.4178760995924,0.00027125630584356325,10.0,9.134081875326771,94.42797746539105
bootstrap_44,1e-08,0.044686151238631996,156.0,498.0959199740636,0.00027146526702025446,10.0,9.087258571572864,95.00522529578737
bootstrap_45,1e-08,0.044144195415998996,156.0,493.541809443852,0.00027121129877862103,10.0,9.383119805725242,92.72893176188734
bootstrap_46,1e-08,0.030615842993574838,156.0,500.0,0.0002691088723249256,10.0,10.532263283041134,103.78227640422521
bootstrap_47,1e-08,0.04467436007626052,156.0,498.5262144278164,0.00027136917793952513,10.0,9.083658962593638,97.96726577795333
bootstrap_48,1e-08,0.04512363934129542,156.0,498.71237373496376,0.00027170877755026566,10.0,9.076531840413907,95.31705611442611
bootstrap_49,1e-08,0.048607854084322874,156.0,493.2596188645946,0.00026912501598203205,10.0,9.470663920277545,86.51453665202045
bootstrap_50,1e-08,0.043438547604281834,156.0,497.1320957895367,0.0002712205623096143,10.0,9.163518448305348,91.32609716397914
bootstrap_51,1e-08,0.04557188143943748,156.0,497.8345633856338,0.00027189225116122694,10.0,9.047703087625482,92.9467123558462
bootstrap_52,1e-08,0.061449318700447675,18393.636273721677,358.5095978203909,0.00030929008003724163,8.63217199793186,9.54391220863732,92.25977783602009
bootstrap_53,1e-08,0.06056380442550754,156.0,499.99634546734615,0.0006583644861043191,10.0,10.5322552270006,89.12518732663433
bootstrap_54,1e-08,0.07426268618303422,27251.515331860428,470.2451618291939,0.0003647746902981245,9.960170902105023,9.021899142654316,101.36025544311893
bootstrap_55,1e-08,0.04300548981097555,156.0,458.2743655503863,0.0002672872419409297,10.0,9.121345930472845,90.88552997664267
bootstrap_56,1e-08,0.029922211770452855,156.0,500.0,0.0002685090484809036,10.0,10.5324,96.99806381601265
bootstrap_57,1e-08,0.0424920782844868,156.0,458.96865244277365,0.00026714203659018417,10.0,9.150772115899255,84.05504727609186
bootstrap_58,1e-08,0.029922830030794594,156.0,499.9998773760959,0.00026850926317583995,10.0,10.532397972958874,91.57452075496371
bootstrap_59,1e-08,0.043438547604281834,156.0,497.1320957895367,0.0002712205623096143,10.0,9.163518448305348,90.82750944853623
bootstrap_60,1e-08,0.043438547604281834,156.0,497.1320957895367,0.0002712205623096143,10.0,9.163518448305348,85.68700102248796
bootstrap_61,1e-08,0.04858709226216506,156.0,493.1593387471835,0.00026910793370213377,10.0,9.475008689906101,91.41911314839986
bootstrap_62,1e-08,0.05985709568964956,156.0,486.9353881810024,0.0006329971277323716,10.0,10.479690431384178,91.85886591813427
bootstrap_63,1e-08,0.04462019789793792,156.0,498.0031914603842,0.0002719113997725239,10.0,9.153101446948764,93.40314189775587
bootstrap_64,1e-08,0.0459661212412929,156.0,498.0668588017759,0.00027255204871725095,10.0,8.992790669991129,90.94752718885393
bootstrap_65,1e-08,0.043438547604281834,156.0,497.1320957895367,0.0002712205623096143,10.0,9.163518448305348,90.15705965420955
bootstrap_66,1e-08,0.044970568812102436,156.0,497.1433571618086,0.00027145215949594633,10.0,9.12292500216579,87.35560605696104
bootstrap_67,1e-08,0.03129693107787036,156.0,500.0,0.00026963437604032175,10.0,10.5324,91.12381490750273
bootstrap_68,1e-08,0.0322879069104402,156.0,488.938865802656,0.00027000099173829517,10.0,10.532396635484027,94.92956113443083
bootstrap_69,1e-08,0.01045578017610689,156.0,464.5949592231187,0.0005669213525411978,10.0,9.9152966950599,89.2179366044972
bootstrap_70,1e-08,0.04343075379707513,156.0,496.4178760995924,0.00027125630584356325,10.0,9.134081875326771,97.07898019228439
bootstrap_71,1e-08,0.04512476353639196,156.0,498.7104798071167,0.00027170952962831557,10.0,9.07646591548955,96.59248163569251
bootstrap_72,1e-08,0.010442201642953288,156.0,466.7866591955029,0.0005697104130740495,10.0,9.909074492700295,86.20950143440635
bootstrap_73,1e-08,0.04450705560454396,156.0,457.1863396590536,0.0002689122232642805,10.0,9.716844676639166,90.70224422436588
bootstrap_74,1e-08,0.04886784023107255,156.0,491.8958383368947,0.00026920191034002705,10.0,9.499898287962377,95.09391177079861
