type,beta,delta,p,c,gamma,roh,alpha,SSR
bootstrap_411,1e-08,0.8916245165528909,1166.7349628788766,289.55835376009657,1.0298792845572056e-05,0.5,10.039889539576505,30.654676682759607
bootstrap_412,1e-08,0.9332375032444813,1000.0000059428032,303.41233346864215,1.0558236366318102e-05,0.5,9.61246133434065,30.446988579785454
bootstrap_413,1e-08,0.8916245165528909,1166.7349628788766,289.55835376009657,1.0298792845572056e-05,0.5,10.039889539576505,30.609746238136992
bootstrap_414,1e-08,0.8785885610568016,1195.5486359836827,285.7498304569712,1.0328193857816359e-05,0.5,9.992264325730483,32.188854252316794
bootstrap_415,1e-08,0.8916245165528909,1166.7349628788766,289.55835376009657,1.0298792845572056e-05,0.5,10.039889539576505,31.092611177397533
bootstrap_416,1e-08,0.9332410246976084,1000.0025341734531,303.4133615787167,1.0558210927130955e-05,0.5,9.612503092922186,30.93461829384285
bootstrap_417,1e-08,0.8761311531521956,1192.0070551482431,284.56324618452356,1.0308169463715466e-05,0.5,10.02494267296381,29.472287894605326
bootstrap_418,1e-08,0.8916245165528909,1166.7349628788766,289.55835376009657,1.0298792845572056e-05,0.5,10.039889539576505,30.329142475225108
bootstrap_419,1e-08,0.8916245165528909,1166.7349628788766,289.55835376009657,1.0298792845572056e-05,0.5,10.039889539576505,30.393921668652084
bootstrap_420,1e-08,0.8916245165528909,1166.7349628788766,289.55835376009657,1.0298792845572056e-05,0.5,10.039889539576505,31.441174939022645
bootstrap_421,1e-08,0.9332398358898284,1000.0007408938739,303.41292404009175,1.0558237942467443e-05,0.5,9.612458692460713,28.50268635594556
bootstrap_422,1e-08,0.9332497886121929,1000.0023893192335,303.4165723624115,1.0558244898456223e-05,0.5,9.612447258574413,28.952030491489037
bootstrap_423,1e-08,0.8916251925489159,1166.7356644594995,289.55856359984153,1.029879244499465e-05,0.5,10.039890211305373,27.73794398890419
bootstrap_424,1e-08,0.9332367602481593,1000.0038016467366,303.41206586406213,1.0558213636896042e-05,0.5,9.61249875754916,28.88341034122657
bootstrap_425,1e-08,0.8916245165528909,1166.7349628788766,289.55835376009657,1.0298792845572056e-05,0.5,10.039889539576505,30.158954392374245
bootstrap_426,1e-08,0.8916245165528909,1166.7349628788766,289.55835376009657,1.0298792845572056e-05,0.5,10.039889539576505,30.610038417703482
bootstrap_427,1e-08,1.457265759384716,47787.53038471271,468.18456278300374,1.0605428255040201e-05,0.4998824555573619,9.535545005661335,30.555201640447386
bootstrap_428,1e-08,0.9332375742836243,1000.0,303.4120229360503,1.05582401093446e-05,0.5,9.612455170723944,30.814102400026893
bootstrap_429,1e-08,0.8916245165528909,1166.7349628788766,289.55835376009657,1.0298792845572056e-05,0.5,10.039889539576505,28.86482801089984
bootstrap_430,1e-08,0.8916245165528909,1166.7349628788766,289.55835376009657,1.0298792845572056e-05,0.5,10.039889539576505,30.99027427037244
bootstrap_431,1e-08,0.9332375163334059,1000.0,303.41233316688806,1.0558236460061365e-05,0.5,9.612461175273127,30.727915973253822
bootstrap_432,1e-08,0.8916245165528909,1166.7349628788766,289.55835376009657,1.0298792845572056e-05,0.5,10.039889539576505,29.549789115260932
bootstrap_433,1e-08,0.8916242041675606,1166.735305161932,289.55824133226116,1.0298792426963708e-05,0.5,10.039890235769267,30.088796891236854
bootstrap_434,1e-08,0.8916242041675606,1166.735305161932,289.55824133226116,1.0298792426963708e-05,0.5,10.039890235769267,30.39059144616192
bootstrap_435,1e-08,0.8916250094823241,1166.7347935518833,289.5585236605598,1.0298793300554806e-05,0.5,10.039888793903511,30.698128954006194
bootstrap_436,1e-08,0.9333490789370199,1000.0069450364084,303.44846561199165,1.0558253137484511e-05,0.5,9.612433085775484,33.83364944167767
bootstrap_437,1e-08,0.8916245165528909,1166.7349628788766,289.55835376009657,1.0298792845572056e-05,0.5,10.039889539576505,29.763012681785135
bootstrap_438,1e-08,0.8761307677218253,1191.8952648709037,284.561916472323,1.0308245430113724e-05,0.5,10.024816023808736,30.607871198162698
bootstrap_439,1e-08,1.457266687789795,47787.546220175675,468.18457825891846,1.060542848303103e-05,0.49988245611613025,9.53554464399325,29.138996849267357
bootstrap_440,1e-08,0.8916248863208696,1166.7345434680474,289.5585025669036,1.0298793548322382e-05,0.5,10.039888365995235,30.078516856554295
bootstrap_441,1e-08,0.8916245165528909,1166.7349628788766,289.55835376009657,1.0298792845572056e-05,0.5,10.039889539576505,28.443206964003483
bootstrap_442,1e-08,0.9332375163334059,1000.0,303.41233316688806,1.0558236460061365e-05,0.5,9.612461175273127,32.3765556317939
bootstrap_443,1e-08,0.8761311815473593,1192.0071026657006,284.56325523711456,1.0308169479848656e-05,0.5,10.024942648669427,28.711805786655802
bootstrap_444,1e-08,1.4572657674981309,47787.54553622148,468.1845517258073,1.0605428613101345e-05,0.49988245569680934,9.5355444041836,26.25528606234772
bootstrap_445,1e-08,1.457265541537589,47787.534676287556,468.1844731435285,1.0605427962143863e-05,0.4998824560062529,9.535545499561493,28.77264886305954
bootstrap_446,1e-08,0.9332410115771821,1000.002532463304,303.4133597587163,1.0558210948004815e-05,0.5,9.612503055198907,30.770232983418875
bootstrap_447,1e-08,1.4572659970270463,47787.53417217322,468.1845559220733,1.0605428328693e-05,0.4998824556147172,9.535544886025964,25.50522016340968
bootstrap_448,1e-08,0.9332375181142523,1000.0,303.41233851028016,1.0558236296896424e-05,0.5,9.612461445256752,31.143577524648688
bootstrap_449,1e-08,0.8916245165528909,1166.7349628788766,289.55835376009657,1.0298792845572056e-05,0.5,10.039889539576505,27.709111954018155
bootstrap_450,1e-08,0.8916248863208696,1166.7345434680474,289.5585025669036,1.0298793548322382e-05,0.5,10.039888365995235,30.62304780456057
bootstrap_451,1e-08,0.8916245165528909,1166.7349628788766,289.55835376009657,1.0298792845572056e-05,0.5,10.039889539576505,28.76914478397493
bootstrap_452,1e-08,0.9332410246976084,1000.0025341734531,303.4133615787167,1.0558210927130958e-05,0.5,9.612503092922186,28.510423410327576
bootstrap_453,1e-08,0.9326742407694801,1000.0335009960052,303.22099266836796,1.0557879652855874e-05,0.5,9.613051104128282,30.723171289692115
bootstrap_454,1e-08,0.8916250094823241,1166.7347935518833,289.5585236605598,1.0298793300554806e-05,0.5,10.039888793903511,27.069630699396534
bootstrap_455,1e-08,0.933241002489517,1000.0025232370344,303.41335919027966,1.0558211034767565e-05,0.5,9.612502916071946,30.71204478085282
bootstrap_456,1e-08,0.9332410246976084,1000.0025341734531,303.4133615787167,1.0558210927130955e-05,0.5,9.612503092922186,33.74604845132592
bootstrap_457,1e-08,0.8916245165528909,1166.7349628788766,289.55835376009657,1.0298792845572056e-05,0.5,10.039889539576505,30.06386144006741
bootstrap_458,1e-08,0.8916248694141281,1166.7366573670838,289.5584912268605,1.0298793919849078e-05,0.5,10.039887790964892,30.822798259926163
bootstrap_459,1e-08,0.876130764919627,1191.8957208155473,284.56190601487924,1.0308244964448249e-05,0.5,10.024816793570125,27.542117913619457
bootstrap_460,1e-08,0.8916245165528909,1166.7349628788766,289.55835376009657,1.0298792845572056e-05,0.5,10.039889539576505,31.673219810157136
bootstrap_461,1e-08,0.8916245165528909,1166.7349628788766,289.55835376009657,1.0298792845572056e-05,0.5,10.039889539576505,32.07243592454433
bootstrap_462,1e-08,0.8916245165528909,1166.7349628788766,289.55835376009657,1.0298792845572056e-05,0.5,10.039889539576505,31.271195900622267
bootstrap_463,1e-08,0.9332410246976084,1000.0025341734531,303.4133615787167,1.0558210927130955e-05,0.5,9.612503092922186,28.55589438016293
bootstrap_464,1e-08,0.9332375634229275,1000.0000003330769,303.4123412743281,1.055823623684851e-05,0.5,9.612461536603664,30.533767743034158
bootstrap_465,1e-08,0.8785899369502828,1195.545450806708,285.75012605969994,1.0328189002826604e-05,0.5,9.992272165661149,27.11021618669724
bootstrap_466,1e-08,0.9332403836660781,1000.0,303.413304415037,1.0558238817349315e-05,0.5,9.612457233109208,31.521831668393524
bootstrap_467,1e-08,0.8761062790976009,1191.946260782931,284.5542847730402,1.0308186836170952e-05,0.5,10.02491318007013,30.95664025523757
bootstrap_468,1e-08,1.4572662120607303,47787.5388379122,468.1845539015968,1.0605428342938658e-05,0.49988245592051966,9.535544870244467,28.820466675364447
bootstrap_469,1e-08,0.8916245165528909,1166.7349628788766,289.55835376009657,1.0298792845572056e-05,0.5,10.039889539576505,30.92822922252846
bootstrap_470,1e-08,0.9332375742836243,1000.0,303.4120229360503,1.05582401093446e-05,0.5,9.612455170723944,26.605344590433337
bootstrap_471,1e-08,0.9332370471186788,1000.0000066640214,303.4121737919714,1.0558236255427383e-05,0.5,9.612461517855461,27.057024114681862
bootstrap_472,1e-08,0.9333490789370199,1000.0069450364084,303.44846561199165,1.0558253137484511e-05,0.5,9.612433085775484,30.39839208759353
